group,group_id,trial,trial_id,treatment,treatment_id,0_mrs,1_mrs,2_mrs,3_mrs,4_mrs,5_mrs,6_mrs,ind_mrs,amb_mrs,tot_actual,tot_reported
large,1,angel,1,treatment,1,9,19,41,39,45,27,50,69,108,230,230
large,1,angel,1,control,0,0,8,18,49,60,45,45,26,75,225,225
large,1,rescue,2,treatment,1,2,3,9,17,33,18,18,14,31,100,100
large,1,rescue,2,control,0,0,3,5,5,25,40,24,8,13,102,102
large,1,select,3,treatment,1,2,9,25,31,27,15,68,36,67,177,178
large,1,select,3,control,0,0,3,9,20,36,32,71,12,32,171,174
large,1,tension,4,treatment,1,10,,11,18,24,15,46,21,39,124,124
large,1,tension,4,control,0,2,,1,13,16,24,66,3,16,122,122
early,2,escape,5,treatment,1,25,34,30,26,21,11,16,89,115,164,164
early,2,escape,5,control,0,10,15,18,22,35,18,28,43,65,146,147
early,2,extend,6,treatment,1,9,9,7,6,1,0,3,25,31,35,35
early,2,extend,6,control,0,6,4,4,4,6,4,7,14,18,34,35
early,2,mrclean,7,treatment,1,7,21,49,42,51,14,49,77,119,233,233
early,2,mrclean,7,control,0,1,16,35,43,80,32,59,52,94,265,267
early,2,piste,8,treatment,1,5,9,3,4,4,1,7,17,21,33,33
early,2,piste,8,control,0,1,5,6,7,4,3,4,12,19,30,30
early,2,resilient,9,treatment,1,9,13,17,24,14,7,27,39,63,111,111
early,2,resilient,9,control,0,3,7,13,17,21,18,33,23,40,111,110
early,2,revascat,10,treatment,1,7,18,20,19,8,12,19,45,64,103,103
early,2,revascat,10,control,0,6,7,16,20,17,21,16,29,49,103,103
early,2,swift,11,treatment,1,17,25,17,12,15,3,9,59,71,97,98
early,2,swift,11,control,0,8,10,15,16,20,12,12,33,49,94,93
early,2,therapy,12,treatment,1,3,10,6,8,15,2,6,19,27,50,50
early,2,therapy,12,control,0,1,6,7,7,10,4,11,14,21,46,46
early,2,thrace,13,treatment,1,31,39,36,25,34,11,24,106,131,200,200
early,2,thrace,13,control,0,24,33,28,25,56,9,27,85,110,202,202
late,3,dawn,14,treatment,1,10,24,18,14,14,8,20,51,65,107,107
late,3,dawn,14,control,0,4,5,4,16,34,19,18,13,29,99,99
late,3,defuse3,15,treatment,1,9,15,17,14,17,7,13,40,54,91,92
late,3,defuse3,15,control,0,7,4,4,14,24,14,23,14,29,91,90
late,3,mrcleanlate,16,treatment,1,23,31,46,28,31,33,61,99,128,252,255
late,3,mrcleanlate,16,control,0,5,35,44,20,27,42,74,84,104,247,247
late,3,positive,17,treatment,1,4,4,1,0,1,1,1,9,9,12,12
late,3,positive,17,control,0,1,3,5,3,2,3,4,9,12,21,21
basilar,4,attention,18,treatment,1,11,34,29,29,11,27,84,75,104,226,226
basilar,4,attention,18,control,0,5,5,3,14,6,19,63,12,26,114,114
basilar,4,baoche,19,treatment,1,7,20,17,8,10,15,34,43,51,110,110
basilar,4,baoche,19,control,0,1,6,7,11,20,16,45,15,26,107,107
basilar,4,basics,20,treatment,1,8,19,27,14,10,17,59,54,68,154,154
basilar,4,basics,20,control,0,6,13,25,11,16,12,63,44,55,146,146
basilar,4,best,21,treatment,1,4,11,7,6,5,11,22,22,28,66,66
basilar,4,best,21,control,0,6,10,2,3,12,7,25,18,21,65,65